Full Text Tweet;Datum und Uhrzeit
ಹಲೋ ಇಂಡಿಯಾ//ஹலோ இந்தியா//नमस्ते भारत//We can do a great deal for the climate with intelligent urban and transport policy. 🇨🇭 would like to work more closely with 🇮🇳. //Dossier DETEC: https://t.co/cDraEKpbim//Swiss-Indian relations: https://t.co/HmWyanl7DV;18-Oct-2019 (10:27:24.000000)
Premier prix dès la première participation ! Un très bel exemple de combinaison entre biodiversité, espace de détente et culture. Merci à tous les participants.//https://t.co/AFjQiPyHZ1;16-Oct-2019 (12:46:56.000000)
Danke BAV, SBB, BLS und bfu – der Sicherheitsfilm ist lehrreich und macht auch noch Spass! https://t.co/AJdOW3yBxG;15-Oct-2019 (16:19:59.000000)
Eine griffige #Klimapolitik ist der beste Schutz für unsere Infrastruktur. #Infrastrukturtag //https://t.co/ntdM3cy7z8;10-Oct-2019 (13:09:39.000000)
Transition énergétique : la technologie est à disposition. La mise en œuvre soutenue par le travail de la HES-Sion. @hessovalais https://t.co/nu5Jaq7zKB;07-Oct-2019 (14:25:00.000000)
Le #climat inquiète les jeunes. Discussion engagée avec les élèves du collège de la Planta à Sion. https://t.co/fxFAF5otce;07-Oct-2019 (10:26:56.000000)
Gemeinsam unterwegs fürs Klima https://t.co/tdeQCiZML0;28-Sep-2019 (14:31:51.000000)
In unterschiedlichen Rollen für die gleiche Sache: Herzlichen Dank für euren Einsatz in der SP-Fraktion. @berberatdidier @PascaleBruderer A. Fetz C. Hêche @ClaudeJaniak @margretkiener @MaireJack @votrevoix @SchenkerSilvia S. Semadeni @ManuelTornare G. Savary @beaheim @spschweiz https://t.co/RKp8cnYNOV;27-Sep-2019 (15:37:10.000000)
Wir brauchen mehr sauberen Strom aus der Schweiz. Mit dem heutigen Entscheid tun wir etwas fürs Klima und für unsere Versorgungssicherheit!//https://t.co/0HFLSgE7Jl;27-Sep-2019 (14:50:54.000000)
Freue mich, dass das neue Urheberrecht am Ziel ist. Es war ein langer Weg von der Arbeitsgruppe zum Urheberrecht (AGUR12) bis zur Schlussabstimmung.//#urgrevision2019 #Konsumentenschutz #Suisa #Suisseculture @Verlegerverband @CulturaCH @frc_CH @KonsumSchutz;27-Sep-2019 (14:15:47.000000)
Bei meiner Arbeit kommt #deutsch am häufigsten vor. Aujourd’hui, nous renversons la tendance. Allora lanciamoci e parliamo le #français, l’#italiano ed il #rumantsch!//#GiornatadelPlurilinguismo #JournéeduPlurilinguisme #TagderMehrsprachigkeit #GiornataEuropeadelleLingue;26-Sep-2019 (16:54:54.000000)
Ich will den öffentlichen Verkehr stärken – in Stadt und Land! //https://t.co/AOvpZvbJKx;26-Sep-2019 (13:56:18.000000)
Stromtanken mit dem Tesla wird noch einfacher 😊 - dank der Übersicht auf der Seite https://t.co/JsgfLbcu5P  //@BFEenergeia;26-Sep-2019 (09:15:05.000000)
