Full Text Tweet;Datum und Uhrzeit
Wir haben sehr konsequente Maßnahmen zur Reduktion des öffentlichen Lebens in #Österreich beschlossen. Viele europäische Länder folgen unserem Beispiel. Ich möchte mich bei allen dafür bedanken, dass sie diese Maßnahmen mittragen. Damit retten sie Leben in unserem Land. #COVID19;17-Mar-2020 (13:33:34.000000)
"@mjam Vielen Dank für den Hinweis &amp; den verantwortungsvollen Umgang in dieser herausfordernden Zeit! Alle Kunden können ihr Essen abholen, allerdings nur, wenn sie das Geschäftslokal nicht betreten &amp; am Übergabepunkt im Freien ein Meter Abstand gehalten wird. Lasst es euch schmecken!";17-Mar-2020 (08:45:18.000000)
Ich bedanke mich jetzt schon bei allen jungen Männern, die hier potentiell im Dienst an der Republik gebraucht werden! #COVID19;15-Mar-2020 (09:14:44.000000)
"Darüber hinaus habe ich @ElliKoestinger ersucht, bestehende Zivildiener zu verlängern &amp; weitere Zivildiener, die in den letzten 5 Jahren aktiv Dienst versehen haben, im Sanitätsdienst &amp; im Pflegebereich zu mobilisieren, damit potenzielle Engpässe dort vermieden werden können!";15-Mar-2020 (09:14:44.000000)
"Um die Versorgung langfristig zu sichern, wird die Ausmusterung von Grundwehrdienern gestoppt &amp; die Bereitschaft einiger Milizeinheiten hergestellt. Sie werden die Polizei unterstützen &amp; eine notwendige strategische Reserve für logistische Herausforderungen sein. #COVID19";15-Mar-2020 (09:14:43.000000)
"Um die konsequenten Maßnahmen in unserem Land zu unterstützen, werden die Einreisebestimmungen weiter verschärft. Reisende aus Großbritannien, den Niederlanden, Russland &amp; der Ukraine werden nicht mehr direkt einreisen können. Flugverbindungen in diese Länder werden eingestellt.";15-Mar-2020 (09:13:36.000000)
"Wir sind uns bewusst, dass dies massive Einschränkungen sind. Diese sind aber notwendig, um die Gesundheit der österreichischen Bevölkerung zu verteidigen, #COVID19 auszuhungern &amp; damit besonders die ältere Generation in unserem Land zu schützen.";15-Mar-2020 (09:13:18.000000)
Ab Dienstag werden Restaurants vollständig geschlossen, da die Lebensmittelversorgung über unsere Supermärkte und Lieferservices weiter gewährleistet ist. #COVID19;15-Mar-2020 (09:13:18.000000)
Alle Österreicherinnen und Österreicher sind aufgefordert, sich selbst zu isolieren. Das bedeutet ausschließlich soziale Kontakte mit jenen Menschen zu haben, mit denen sie auch zusammenleben. #COVID19;15-Mar-2020 (09:13:17.000000)
Die Bewegungsfreiheit in unserem Land wird zusätzlich massiv eingeschränkt. Das bedeutet, dass Sportplätze, Spielplätze und andere Plätze der öffentlichen Begegnung gänzlich geschlossen werden. #COVID19;15-Mar-2020 (09:13:17.000000)
Wir haben bereits angekündigt, dass #Österreich auf Notbetrieb herunterfahren muss. Zusätzlich werden wir noch weitere Maßnahmen setzen müssen: Versammlungen werden auf Zeit gänzlich untersagt. #COVID19;15-Mar-2020 (09:13:16.000000)
Mein Appell ist in der derzeitigen Situation klar: Nehmen Sie die Situation ernst und glauben Sie den Beschwichtigungen nicht! //Nur gemeinsam können wir die Ausbreitung des Coronavirus verlangsamen. https://t.co/9WYckfM9dT;14-Mar-2020 (20:50:45.000000)
"Das wird nicht die letzte Maßnahme sein, die wir setzen. Aber es ist eine erste schnelle &amp; notwendige Maßnahme, um sofort reagieren zu können. Danke an alle Österreicherinnen &amp; Österreicher, die hier mitwirken &amp; einen Beitrag leisten! #COVID19";14-Mar-2020 (11:00:58.000000)
"Mit dem ersten Corona-Krisenfonds verfolgen wir 3 wesentliche Ziele://1. Liquidität /Zahlungsfähigkeit von Unternehmen gewährleisten //2. neue Corona-Kurzarbeit soll Arbeitsplätze in #Österreich sichern //3. Hilfe bei Härtefällen, besonders für EPUs &amp; Familienbetriebe";14-Mar-2020 (11:00:43.000000)
#COVID19 hat auch massive wirtschaftliche Auswirkungen: Viele Menschen haben zu Recht Sorgen um ihren Arbeitsplatz. Unternehmen verlieren zumindest auf Zeit ihre Geschäftsgrundlage. Daher wird es ab sofort ein 4 Milliarden Euro Paket zur Krisenbewältigung geben wird!;14-Mar-2020 (10:59:01.000000)
Es ist über die vergangene Nacht notwendig geworden, eine weitere Gemeinde unter Quarantäne zu stellen: Heiligenblut in Kärnten. Wir rufen dazu auf, dass sich alle Menschen, die seit 28.2. in von Quarantäne betroffenen Gemeinden waren, selbst für 14 Tage isolieren! #COVID19;14-Mar-2020 (10:58:51.000000)
"Ich möchte mich bei allen Österreicherinnen und Österreichern bedanken, die in dieser Phase zusammenstehen &amp; ihren Beitrag leisten, damit wir als Republik möglichst gut durch diese Krise kommen. #COVID19";14-Mar-2020 (10:58:42.000000)
